hypoxia_score,cd8_effector_score,local_cd8_knn,niche,constraint_index,cell_type
-0.08836462555161445,-0.02919070054644998,-0.011593169754172464,intermediate,0.10755480386450839,Epithelial cells
0.22405044764400006,-0.012008534751922978,-0.009548062094149158,intermediate,1.1095992406873931,Macrophages
-0.2209250764195699,-0.0323240689420507,-0.008535111963990245,intermediate,-0.3797828912692577,Epithelial cells
-0.061442158547749925,0.0,0.008035994648558035,intermediate,-0.22043652712879847,Epithelial cells
-0.3110293619125244,-0.020481854797857493,-0.01687223599185506,intermediate,-0.9199583970666292,NK cells
0.4953904276392067,0.0,0.04548702477372056,intermediate,2.023480150206702,Epithelial cells
-0.33805902320218373,-0.03702437057186235,-0.018150486090244392,intermediate,-0.7815249995642073,NK cells
-0.01229216008779993,0.0,-0.012452771756973988,intermediate,-0.022372505785287232,Schwann cells
-0.06058814774555371,-0.02703155100586926,-0.015626925752874006,intermediate,0.18720272803681523,Epithelial cells
0.2652616840768531,0.0,-0.01248640016666469,hypoxic_low_neighbor_CD8,1.0961103474623415,Epithelial cells
0.03950591594818609,0.0,-0.013547621661352243,intermediate,0.18636270396053198,Epithelial cells
0.6639537198476524,0.0,0.011410920661792421,intermediate,2.7027543018205833,Epithelial cells
-0.3424611883948606,-0.03904000950245722,0.010391564053884242,intermediate,-0.7691253118583391,Epithelial cells
0.0882252770734121,-0.023974760341258183,-0.010510069542085594,hypoxic_CD8_low,0.7411814977748166,Epithelial cells
-0.10176446806474862,-0.011297908389133964,-0.010757857553067638,intermediate,-0.21399131217060835,Epithelial cells
0.11122508125611574,-0.030280622876124826,-0.01003409950678487,hypoxic_CD8_low,0.9281562021248,Epithelial cells
0.025697743078791024,0.0,0.010766925953338665,intermediate,0.13071870942109576,Epithelial cells
-0.3139004075383566,-0.01357998539079056,0.010766925953338665,intermediate,-1.0347304736192764,Epithelial cells
0.5037598284372844,-0.03697800732817245,0.013078302249573825,hypoxic_CD8_low,2.6101323441815345,Epithelial cells
-0.044819132391228755,0.0,0.014297224152908633,intermediate,-0.15344927360646532,Epithelial cells
-0.04863991435751858,-0.012581416952465228,-0.011373938433071863,intermediate,0.019281385686251443,Epithelial cells
