gene,pearson_r,n_spots
UHRF1,0.13494033139469525,387
GALC,0.1348744425035654,387
IL17RE,0.13484213581976645,387
P2RY1,0.13477532598125117,387
INSR,0.1347696431049593,387
PODXL2,0.13471762474477017,387
GNPDA1,0.13432762279487032,387
SULF2,0.134240297462329,387
PRR15L,0.13422415341264352,387
CYP4F12,0.13392076533565078,387
RUVBL1,0.1338709372366732,387
RABEP2,0.13385785880750004,387
C1orf115,0.13374158973997372,387
NOL11,0.13369393869949753,387
YLPM1,0.13359245506440445,387
USP30,0.13358235537982738,387
COPS7A,0.13291784009545887,387
DHRS11,0.13276994943115575,387
MGST3,0.1327575311247791,387
CPT1A,0.13252955796012017,387
BMP2,0.13250745937610373,387
SNRPN,0.13234136055750195,387
SPEG,0.13196988650378383,387
CAPN9,0.13189319305004407,387
RAB8A,0.1318245107596009,387
TNC,0.1317562985586143,387
RCC2,0.13173410977111333,387
GPC3,0.13167741057122234,387
NUSAP1,0.13145041584123868,387
ITPR2,0.13136022036228087,387
SNX5,0.1312993930546099,387
PRPF38A,0.1309608139016108,387
CDC42EP5,0.13080093162722703,387
DESI2,0.13065361234160058,387
MITF,0.13056521150729766,387
FUT8,0.13052976399270813,387
DCP1A,0.1304585158572526,387
CBY1,0.13037501720212208,387
CARD19,0.13016166500136458,387
PDCD5,0.13002608117934725,387
TNFRSF12A,0.12987199934090973,387
MTMR14,0.12980125003034562,387
PHF6,0.12975914097843722,387
S1PR3,0.12957414974735704,387
TNXB,0.12954734427086065,387
CDKN3,0.12949021645002753,387
ECM1,0.1290806819503698,387
ITGB1BP1,0.1289903986956283,387
PCLAF,0.12880896596500677,387
SLC29A3,0.12853980732030745,387
CALCOCO1,0.1283678751071514,387
ADAM19,0.1282728720360431,387
TMTC3,0.1282027087590176,387
NXT1,0.12802297961473474,387
RRP15,0.12798153090369557,387
YAP1,0.1278048839488241,387
PCGF5,0.12773393008463563,387
SPIN4,0.12769965008157508,387
DDX60L,0.12765579009660968,387
PLA2G12A,0.12762715275461375,387
DCAF1,0.12750343440802733,387
LPCAT4,0.1273539001228896,387
SRSF8,0.12710824409482155,387
KLHL36,0.1269685889502562,387
OVOL1,0.12673797086849328,387
PSMD10,0.12660004973782019,387
LOX,0.1265932194612478,387
CRACR2A,0.12655075471898158,387
TOX3,0.12642199828916634,387
TMED5,0.1262889951530664,387
EXOC3L4,0.1262683721332548,387
TAFA5,0.1262407494016407,387
ZMAT3,0.12606767054680473,387
CLDND2,0.12587832614744482,387
ALCAM,0.12577711815415127,387
GRAMD1C,0.12548536761754436,387
CERCAM,0.12543699398839955,387
ACAN,0.1252400016642399,387
FBXL3,0.12512022940973974,387
C3AR1,0.1250648869675218,387
HELZ2,0.124370229274416,387
DEPDC1,0.12408907846072971,387
LMNTD2,0.12398444615112053,387
ZNF703,0.12398339551405332,387
COPS5,0.12252106669551174,387
RASSF10,0.12220381171398295,387
RBBP8,0.12218396066346221,387
ZNF281,0.12196753220361836,387
ECHDC1,0.12194335032292575,387
IER5L,0.12175749698028394,387
EBPL,0.1216788079804768,387
UPF3B,0.12160007010807089,387
FLNB,0.12141982890913115,387
HAT1,0.12137490647661917,387
ZNF503,0.12128593227055055,387
GJD3,0.12128440052722671,387
PCK1,0.1212253029927586,387
PDHA1,0.1211849297249828,387
TAPBPL,0.12098019834466424,387
APOC2,0.12092372766483889,387
ANXA13,0.12088370343183712,387
PARD3,0.12074164059782574,387
DCLRE1B,0.12053616611958289,387
TMEM39A,0.12033423121635337,387
HDGFL2,0.1203152661345,387
AIFM3,0.11990092226394886,387
PTK2B,0.11981320691770651,387
TSPAN1,0.11945331854775428,387
CYGB,0.11927539882961,387
NECAP1,0.11918558245589464,387
MMP23B,0.11905011183757647,387
TGFB3,0.11849363503424303,387
BCL2L15,0.11837732626168507,387
KMT5C,0.1180579243367978,387
PEX3,0.11788525450155597,387
ERCC3,0.11787674222394676,387
IGSF6,0.11783377508809338,387
MLH1,0.1177814483084538,387
GTF2H4,0.11742304582023652,387
GSTM4,0.11737402382662807,387
INO80,0.11724191143544119,387
SATB1,0.11699977036272129,387
CNOT10,0.11687784321847208,387
SUGP2,0.11685874432849644,387
IGFBP3,0.11680187631223178,387
TMEM154,0.11630407896652677,387
SERPINH1,0.11620136219025302,387
SPRY4,0.11615303995555977,387
UBA7,0.11610929271402683,387
JSRP1,0.11584577193621491,387
PBLD,0.1157156020709322,387
DHRS1,0.11567978239577797,387
PPP1R14A,0.11566356941020174,387
TRIB3,0.11554193507429215,387
SIAE,0.11517183989823114,387
MAP1S,0.11500400535952728,387
FGFR2,0.1149291897205026,387
PLEKHA3,0.11469109798186217,387
ID3,0.11451212092717897,387
HLTF,0.11448975724511326,387
CD200,0.11408910920399376,387
PKIG,0.11403884020720056,387
SUCLG2,0.11373948021135454,387
ADCK1,0.11355733912154573,387
TMEM236,0.11345453025542478,387
HBEGF,0.1132410423532073,387
SEC23B,0.11293442502948046,387
PRMT3,0.11290449501148618,387
TRPA1,0.11259425088870399,387
NR3C1,0.11241174148215294,387
INPP5J,0.11240170611968753,387
PGAP1,0.11234150421411193,387
CIT,0.11230357007156866,387
CHAF1B,0.1121437028461293,387
EEF2KMT,0.11204429828028523,387
HEY2,0.112036743084707,387
HKDC1,0.11200034659436428,387
CAMTA1,0.11186153606159423,387
SYT12,0.11175193530663849,387
BOC,0.11167154887472201,387
RFK,0.11134043668501824,387
NPRL3,0.11123724531399169,387
CD4,0.11103467945325218,387
RICTOR,0.1107455570675366,387
YEATS4,0.11067304451828427,387
ANKRD37,0.11066159190381081,387
SMPD1,0.11026993913750693,387
ZSCAN18,0.11020770111151088,387
CXCL3,0.11002815571019445,387
CXCL1,0.10993515504977211,387
MAD2L1,0.10988621614286723,387
CEACAM1,0.10986161683843548,387
