dataset_id,technology,organ,species,n_cells,n_types,n_ligands,radius,gt_vs_structure_type_pearson,gt_vs_structure_type_mae,gt_vs_structure_cell_pearson,gt_vs_structure_cell_mae,gt_vs_structure_cell_rel_mae,gt_vs_structure_soft_cosine,gt_vs_atlas_type_pearson,gt_vs_atlas_type_mae,gt_vs_oracle_type_pearson,gt_vs_abundance_type_pearson,structure_minus_abundance_type_pearson
human_melanoma_slidetags,SlideTags,tumor_melanoma,human,4804,7,40,195.41541491434694,0.9690745427703327,0.01613055764751987,0.13802363713056648,0.37122369130266886,0.6644879431856603,0.9845948397266693,0.9690745427703327,0.01613055764751987,0.9690745427703273,0.5992587117891446,0.3698158309811881
human_tonsil_slidetags,SlideTags,tonsil,human,5778,11,40,213.62723064982163,0.9706557707237234,0.028398044607394746,0.33607908556207733,0.35635935510710925,0.5807532803597444,0.9235850849044945,0.9706557707237234,0.028398044607394746,0.9706557707237238,0.6252019796966308,0.3454537910270926
human_tonsil_slidetags_fine,SlideTags,tonsil,human,5778,12,40,281.1955826154899,0.9876273550068563,0.03391838932146719,0.43012961050435716,0.3111091080340268,0.6532344172515528,0.9221293403551761,0.9876273550068563,0.03391838932146719,0.9876273550068564,0.8206146900036785,0.1670126650031778
mouse_brain_slideseqv2,SlideSeqV2,brain,mouse,12000,4,40,528.7031681387957,0.8590604085392091,0.005302027184659455,0.2507674982995024,0.031517627276508475,0.2104361654789537,0.8982256163343897,0.8590604085392091,0.005302027184659455,0.8590604085392043,0.15897804677676095,0.7000823617624481
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,mouse,12000,8,40,534.094344931174,0.6286421136795031,0.004132068162336839,0.11121852582964639,0.013810194936261903,0.25702403569018534,0.9944149268718911,0.6286421136795031,0.004132068162336839,0.6286421136794713,0.24841830316900387,0.3802238105104992
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,mouse,12000,12,40,555.6025646502329,0.7869762765279098,0.0010185548054512119,0.16385616149328838,0.006824255880300792,0.31863771599147367,0.9462008420758821,0.7869762765279098,0.0010185548054512119,0.7869762765279031,0.5978681816135065,0.18910809491440328
mouse_kidney_visiumhd,VisiumHD,kidney,mouse,10000,7,40,269.28311535955083,0.949618024776489,0.003129998207973774,0.432039173578905,0.014955947561165172,0.5167548843449866,0.9518842443772039,0.949618024776489,0.003129998207973774,0.9496180247764746,-0.09815814072714796,1.047776165503637
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,12000,6,40,402.3900531212855,0.9252636770761657,0.0008539334766243892,0.31355303823915315,0.004801852942268688,0.24924119831100686,0.9659349214727502,0.9252636770761657,0.0008539334766243892,0.9252636770761928,0.6393083717789326,0.2859553052972331
