dataset_id,technology,organ,species,method,n_cells,n_types,n_ligands,radius,cell_pearson,cell_spearman,cell_mae,cell_rmse,cell_rel_mae,cell_mean_signed_error,type_pearson,type_mae,type_rmse,type_rel_mae,soft_neighbor_cosine,calib_slope,elapsed_sec
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,type_mean_oracle,12000,6,40,402.3900531212855,0.8673762371912765,0.863845005781976,0.002431999381112265,0.0038797402289219335,0.12441835760958771,5.5724481593270394e-05,0.9252636770761928,0.0008539334766245017,0.0013568073935360384,0.039510977021817384,,1.0007571701667932,31.63
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,structure_pooled,12000,6,40,402.3900531212855,0.31355303823915315,0.3033491504127829,0.004801852942268688,0.007688154370040813,0.24924119831100686,5.572448159326583e-05,0.9252636770761657,0.0008539334766243892,0.0013568073935359777,0.039510977021816475,0.9659349214727502,0.9961070196393347,31.82
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,structure_atlas,12000,6,40,402.3900531212855,0.31355303823915315,0.3033491504127829,0.004801852942268688,0.007688154370040813,0.24924119831100686,5.572448159326583e-05,0.9252636770761657,0.0008539334766243892,0.0013568073935359777,0.039510977021816475,0.9659349214727502,0.9961070196393347,32.0
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,abundance_baseline,12000,6,40,402.3900531212855,0.23027130839942175,0.22540237353954534,0.0050321739349167985,0.008005393710818128,0.26251230132673103,0.00024624597342715987,0.6393083717789326,0.0017382268777092166,0.0031528134378041714,0.08109424696046778,,0.988281939205853,32.19
human_tonsil_slidetags,SlideTags,tonsil,human,type_mean_oracle,5778,11,40,213.62723064982163,0.9070603217249008,0.9164337087462812,0.1012994806222163,0.2123292722214847,0.1950392646340945,-0.004963324834232799,0.9706557707237238,0.02839804460739209,0.055768504532750125,0.041549510737072234,,0.9953916695893414,7.12
human_tonsil_slidetags,SlideTags,tonsil,human,structure_pooled,5778,11,40,213.62723064982163,0.33607908556207733,0.3132736025791266,0.35635935510710925,0.938767857896463,0.5807532803597444,-0.004963324834232349,0.9706557707237234,0.028398044607394746,0.055768504532752644,0.041549510737073164,0.9235850849044945,0.9976598459400301,7.32
human_tonsil_slidetags,SlideTags,tonsil,human,structure_atlas,5778,11,40,213.62723064982163,0.33607908556207733,0.3132736025791266,0.35635935510710925,0.938767857896463,0.5807532803597444,-0.004963324834232349,0.9706557707237234,0.028398044607394746,0.055768504532752644,0.041549510737073164,0.9235850849044945,0.9976598459400301,7.44
human_tonsil_slidetags,SlideTags,tonsil,human,abundance_baseline,5778,11,40,213.62723064982163,0.2162446696089806,0.2188049711628916,0.3749708627586283,0.9692540972581517,0.6125568559667319,-0.006871187241531257,0.6252019796966308,0.10288028779910165,0.197929341449194,0.12304642496521367,,0.9787805631589681,7.55
human_tonsil_slidetags_fine,SlideTags,tonsil,human,type_mean_oracle,5778,12,40,281.1955826154899,0.9135077873708536,0.923542447766815,0.13549875120155666,0.30758245248611604,0.1946192732240639,-0.025065648287253505,0.9876273550068564,0.03391838932146778,0.07021218791661046,0.044841241774087,,1.0357144882270903,7.51
human_tonsil_slidetags_fine,SlideTags,tonsil,human,structure_pooled,5778,12,40,281.1955826154899,0.43012961050435716,0.40421237259038845,0.3111091080340268,0.6657288600237449,0.6532344172515528,-0.0250656482872533,0.9876273550068563,0.03391838932146719,0.0702121879166108,0.044841241774087305,0.9221293403551761,1.0210197190674548,7.63
human_tonsil_slidetags_fine,SlideTags,tonsil,human,structure_atlas,5778,12,40,281.1955826154899,0.43012961050435716,0.40421237259038845,0.3111091080340268,0.6657288600237449,0.6532344172515528,-0.0250656482872533,0.9876273550068563,0.03391838932146719,0.0702121879166108,0.044841241774087305,0.9221293403551761,1.0210197190674548,7.75
human_tonsil_slidetags_fine,SlideTags,tonsil,human,abundance_baseline,5778,12,40,281.1955826154899,0.3768531777864913,0.35219608799488056,0.3226337876966787,0.6807556154129196,0.7031219585248937,-0.04458592952619699,0.8206146900036785,0.0860613088105937,0.12795544431194397,0.13433173085411818,,1.0282892945834046,7.87
human_melanoma_slidetags,SlideTags,tumor_melanoma,human,type_mean_oracle,4804,7,40,195.41541491434694,0.9201591721576875,0.9012649205182648,0.08880398792093105,0.22725138281300258,0.14411464266394622,-0.006687683705164884,0.9690745427703273,0.016130557647519073,0.043763352885802874,0.01780435870984124,,1.008216846322686,3.43
human_melanoma_slidetags,SlideTags,tumor_melanoma,human,structure_pooled,4804,7,40,195.41541491434694,0.13802363713056648,0.12001018213065089,0.37122369130266886,1.4823210962800282,0.6644879431856603,-0.006687683705164483,0.9690745427703327,0.01613055764751987,0.043763352885802576,0.017804358709841126,0.9845948397266693,1.0045943185566655,3.54
human_melanoma_slidetags,SlideTags,tumor_melanoma,human,structure_atlas,4804,7,40,195.41541491434694,0.13802363713056648,0.12001018213065089,0.37122369130266886,1.4823210962800282,0.6644879431856603,-0.006687683705164483,0.9690745427703327,0.01613055764751987,0.043763352885802576,0.017804358709841126,0.9845948397266693,1.0045943185566655,3.65
human_melanoma_slidetags,SlideTags,tumor_melanoma,human,abundance_baseline,4804,7,40,195.41541491434694,0.06594130448206444,0.05728201904495248,0.3736440941902666,1.4830088359997748,0.6763417180225225,-0.009514328532792455,0.5992587117891446,0.03199686130683661,0.06462169760512736,0.04130041650424677,,1.0055351831395518,3.75
mouse_kidney_visiumhd,VisiumHD,kidney,mouse,type_mean_oracle,10000,7,40,269.28311535955083,0.9063322579033816,0.9205364754757646,0.007122356453029468,0.010318896576587201,0.24370865138779366,-0.00012327063650923383,0.9496180247764746,0.003129998207973698,0.004270961720221455,0.07909954943142838,,1.0698352402231037,14.23
mouse_kidney_visiumhd,VisiumHD,kidney,mouse,structure_pooled,10000,7,40,269.28311535955083,0.432039173578905,0.41992485522447465,0.014955947561165172,0.020036874781090626,0.5167548843449866,-0.00012327063650922318,0.949618024776489,0.003129998207973774,0.0042709617202215016,0.07909954943142894,0.9518842443772039,1.036858281616045,14.4
mouse_kidney_visiumhd,VisiumHD,kidney,mouse,structure_atlas,10000,7,40,269.28311535955083,0.432039173578905,0.41992485522447465,0.014955947561165172,0.020036874781090626,0.5167548843449866,-0.00012327063650922318,0.949618024776489,0.003129998207973774,0.0042709617202215016,0.07909954943142894,0.9518842443772039,1.036858281616045,14.57
mouse_kidney_visiumhd,VisiumHD,kidney,mouse,abundance_baseline,10000,7,40,269.28311535955083,-0.2175135038117447,-0.2080933090994423,0.017520560634283328,0.023220327680904,0.6444973699752854,0.0002780914116284314,-0.09815814072714796,0.010151204897855285,0.013060778756863015,0.2694668900357486,,0.9843165375282061,14.74
mouse_brain_slideseqv2,SlideSeqV2,brain,mouse,type_mean_oracle,12000,4,40,528.7031681387957,0.9186691890369572,0.9125352452686475,0.012371107498623581,0.016517386011567176,0.08006601518123745,0.00016938723157528115,0.8590604085392043,0.005302027184659128,0.007176298576634328,0.03290067785816949,,1.0119441682800359,24.79
mouse_brain_slideseqv2,SlideSeqV2,brain,mouse,structure_pooled,12000,4,40,528.7031681387957,0.2507674982995024,0.2203913744971607,0.031517627276508475,0.0400034022506131,0.2104361654789537,0.00016938723157530956,0.8590604085392091,0.005302027184659455,0.007176298576634097,0.03290067785817087,0.8982256163343897,1.0060705681768651,24.99
mouse_brain_slideseqv2,SlideSeqV2,brain,mouse,structure_atlas,12000,4,40,528.7031681387957,0.2507674982995024,0.2203913744971607,0.031517627276508475,0.0400034022506131,0.2104361654789537,0.00016938723157530956,0.8590604085392091,0.005302027184659455,0.007176298576634097,0.03290067785817087,0.8982256163343897,1.0060705681768651,25.18
mouse_brain_slideseqv2,SlideSeqV2,brain,mouse,abundance_baseline,12000,4,40,528.7031681387957,0.0555952458176268,0.05852877356507966,0.03289493717615513,0.04195194098099635,0.22392500141581204,0.001047922556526755,0.15897804677676095,0.01280937551118976,0.017014769115605597,0.08411958261793775,,1.0053052029923013,25.37
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,mouse,type_mean_oracle,12000,12,40,555.6025646502329,0.7605194751155061,0.7569710715871254,0.004500391920403963,0.0069527146273424024,0.20092002110127918,0.0001575850877518579,0.7869762765279031,0.0010185548054512375,0.0017891227404788841,0.0400105015237876,,1.0096897802288782,25.83
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,mouse,structure_pooled,12000,12,40,555.6025646502329,0.16385616149328838,0.12611679903251505,0.006824255880300792,0.009838724063745722,0.31863771599147367,0.0001575850877518596,0.7869762765279098,0.0010185548054512119,0.0017891227404788644,0.04001050152378662,0.9462008420758821,0.9999123242762092,26.04
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,mouse,structure_atlas,12000,12,40,555.6025646502329,0.16385616149328838,0.12611679903251505,0.006824255880300792,0.009838724063745722,0.31863771599147367,0.0001575850877518596,0.7869762765279098,0.0010185548054512119,0.0017891227404788644,0.04001050152378662,0.9462008420758821,0.9999123242762092,26.24
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,mouse,abundance_baseline,12000,12,40,555.6025646502329,0.07998769821631715,0.03867998992712522,0.006896558461076204,0.0099412150977356,0.32229513246971003,0.0001919670550145216,0.5978681816135065,0.001378331612134181,0.0024295133716309473,0.054206739520492285,,0.9955839684284552,26.44
