dataset_id,technology,organ,species,target_gene,status,n_cells,n_types,n_ligands_used,radius,alpha,r2_genius,r2_silly,r2_abundance,ridge_r2_genius,ridge_r2_silly,ridge_r2_abundance,feature_col_pearson_silly,feature_col_pearson_abund,silly_coef_pearson,silly_coef_cosine,silly_coef_mae,silly_coef_rmse,silly_support_jaccard,silly_sign_agreement,silly_n_nonzero_genius,silly_n_nonzero_other,silly_both_zero_frac,silly_degenerate_both_zero,abund_coef_pearson,abund_coef_cosine,abund_coef_mae,abund_coef_rmse,abund_support_jaccard,abund_sign_agreement,abund_n_nonzero_genius,abund_n_nonzero_other,abund_both_zero_frac,abund_degenerate_both_zero,ridge_silly_coef_pearson,ridge_silly_coef_cosine,ridge_silly_coef_mae,ridge_silly_coef_rmse,ridge_silly_support_jaccard,ridge_silly_sign_agreement,ridge_silly_n_nonzero_genius,ridge_silly_n_nonzero_other,ridge_silly_both_zero_frac,ridge_silly_degenerate_both_zero,ridge_abund_coef_pearson,ridge_abund_coef_cosine,ridge_abund_coef_mae,ridge_abund_coef_rmse,ridge_abund_support_jaccard,ridge_abund_sign_agreement,ridge_abund_n_nonzero_genius,ridge_abund_n_nonzero_other,ridge_abund_both_zero_frac,ridge_abund_degenerate_both_zero
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Psma7,skipped_weak_genius,8000,6,30,402.3900531212855,0.004767203392934156,0.0015143541609982103,0.0,0.0,0.0036733584788157803,0.0016222950728472796,7.782742049644575e-05,0.3084873536833713,0.19846602312234474,,,0.0003414654074405231,0.0012274429918753636,0.0,,3,0,0.9,False,,,0.0003414654074405231,0.0012274429918753636,0.0,,3,0,0.9,False,0.08963545390664232,0.08851015559242163,0.5549546247916891,0.8512987853548301,1.0,0.5333333333333333,30,30,0.0,False,,0.03868029412486518,0.0032166255677455596,0.0038802582071783983,1.0,0.5333333333333333,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Anp32b,skipped_weak_genius,8000,6,30,402.3900531212855,0.0009007067997760371,0.004138209526125203,0.005608275380930339,0.002124430254969112,0.0067339887250917885,0.006073170255132321,0.0021331318723699644,0.3084873536833713,0.19846602312234474,-0.01570115674689173,0.0,0.0026918936616965386,0.006599607170804456,0.0,,5,2,0.7666666666666667,False,-0.48282455285731607,-0.4588680494162129,0.0023983508351297575,0.0068709267817467475,0.2,0.0,5,1,0.8333333333333334,False,-0.13794345793207552,-0.13879247779253037,0.16450244061026384,0.23932086294721558,1.0,0.5666666666666667,30,30,0.0,False,,-0.017325094229309532,0.015376899860257304,0.019830009706479912,1.0,0.5333333333333333,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Micos10,skipped_weak_genius,8000,6,30,402.3900531212855,0.001967510268347804,0.0028379345682015833,6.650736900837284e-05,1.865295811442902e-05,0.0055178533043465094,0.0001621792684615153,5.852704105757667e-05,0.3084873536833713,0.19846602312234474,-0.01682346646319151,0.002749593017961348,0.0007793761927056586,0.002821165210493876,0.2,1.0,4,2,0.8333333333333334,False,0.014583916985766162,-2.757813623331754e-17,0.0007582061996787404,0.002817437385923155,0.0,,4,1,0.8333333333333334,False,-0.17303580387796763,-0.17573274510549894,0.012151997218304489,0.016731024059346223,1.0,0.5333333333333333,30,30,0.0,False,,-0.05637367253296265,0.008694895828059638,0.011183991049664645,1.0,0.5,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Hnrnpc,skipped_weak_genius,8000,6,30,402.3900531212855,0.0026467008133035878,0.005611218447109545,0.000952588431120116,0.0006536111325290417,0.007891101431969916,0.0010342744483569088,0.000733213068359162,0.3084873536833713,0.19846602312234474,-0.08367951126677821,0.0,0.0011064021604976829,0.0024810190908929894,0.0,,5,2,0.7666666666666667,False,-0.06394111489724738,3.7963862362437784e-14,0.0010550856102171631,0.0024832879219545906,0.0,,5,1,0.8,False,0.005352919575762338,0.053810356301041286,0.005797688112462055,0.007390407878201992,1.0,0.5,30,30,0.0,False,,0.06195529064325492,0.005797152511348143,0.007387294982739945,1.0,0.5,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Apoe,skipped_weak_genius,8000,6,30,402.3900531212855,0.002796559276229029,0.018349204552406073,0.0030714582664691514,0.0004191007704271721,0.036025008204745634,0.003949092243051955,0.000498939763136641,0.3084873536833713,0.19846602312234474,0.0023063053485729047,0.0,0.00434284769452543,0.012116268413201702,0.0,,5,2,0.7666666666666667,False,-0.0019464853288514855,4.921928304919885e-16,0.003942851035252804,0.01187770142463496,0.0,,5,1,0.8,False,-0.10510006750412695,-0.10176276371827146,0.17544081543919568,0.2420034320625624,1.0,0.6,30,30,0.0,False,,-0.0435701656091116,0.1653633294291986,0.21626860280628257,1.0,0.4,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Smc4,skipped_weak_genius,8000,6,30,402.3900531212855,0.006660970919672848,0.017274802679998147,0.019935905354667716,0.019899253786724302,0.03154989048706203,0.020479565957014834,0.020444512884747135,0.3084873536833713,0.19846602312234474,-0.04009111860522602,0.0,0.0023644886463353803,0.006962366028388,0.0,,3,3,0.8,False,-0.026053627794951913,6.533482726757454e-14,0.0023631842907447026,0.008372400400002535,0.0,,3,1,0.8666666666666667,False,0.14812110307538173,0.0749162585407241,0.06525106962623096,0.08236123550016218,1.0,0.5,30,30,0.0,False,,-0.012632500939681905,0.06524303004521878,0.08248501946313117,1.0,0.5,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Uqcrq,skipped_weak_genius,8000,6,30,402.3900531212855,0.004272766462939295,0.0019503134081613194,0.00031647995290418063,0.0,0.004178235366485095,0.0005653804476579705,8.054832997950179e-05,0.3084873536833713,0.19846602312234474,-0.03696341972307108,0.0,0.0003878986777086621,0.0016407154069584201,0.0,,2,1,0.9,False,,,0.000308995741767774,0.001582775046438368,0.0,,2,0,0.9333333333333333,False,-0.005987895611976261,0.011879686989800489,0.003870537126913649,0.005159221641166856,1.0,0.4666666666666667,30,30,0.0,False,,0.027179828978119182,0.003783775284211486,0.005127897731293974,1.0,0.4666666666666667,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Fis1,skipped_weak_genius,8000,6,30,402.3900531212855,0.0025995711226010545,0.0024222869039158823,0.0003388293370472084,0.00017391001043098875,0.0030574800034876004,0.0004218222902766522,0.00025555898331930393,0.3084873536833713,0.19846602312234474,-0.043606804504985566,0.0,0.0005297916326728373,0.002011786474982322,0.0,,3,2,0.8333333333333334,False,0.041409461324875184,0.0,0.0004863307022276372,0.0019624896230825938,0.0,,3,1,0.8666666666666667,False,0.12766497639042498,0.14383487432631836,0.002114708942014246,0.00274549189141137,1.0,0.5,30,30,0.0,False,,-0.133985994307322,0.0021135415958435837,0.002798884244370134,1.0,0.43333333333333335,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Uqcrb,skipped_weak_genius,8000,6,30,402.3900531212855,0.0037329936050419076,0.009334446012895015,0.0008057050624785678,0.0005370183506216986,0.013966672878574782,0.0009734939453722724,0.0007066537902629122,0.3084873536833713,0.19846602312234474,-0.0062634654107390445,0.0,0.0012048907261826105,0.003969142618267418,0.0,,3,1,0.8666666666666667,False,0.006263465410739604,0.0,0.0011604913774529498,0.003917894007452104,0.0,,3,1,0.8666666666666667,False,-0.0026620412113445707,-0.004757391444666513,0.021002185880632525,0.02568751680163997,1.0,0.4666666666666667,30,30,0.0,False,,0.043632913328137575,0.020891005671332296,0.025669779683025914,1.0,0.6,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Ptpn18,skipped_weak_genius,8000,6,30,402.3900531212855,0.006890481619891477,0.0,0.0,0.0,0.002361320085202845,0.0006514818493805752,9.486296307592568e-06,0.3084873536833713,0.19846602312234474,1.0,1.0,0.0,0.0,1.0,,0,0,1.0,True,1.0,1.0,0.0,0.0,1.0,,0,0,1.0,True,-0.08994408367266103,-0.09559544684245552,0.21302799352170568,0.31084187253304735,1.0,0.5,30,30,0.0,False,,-0.07804323128768012,0.0028508990029172776,0.0034524083202268864,1.0,0.5,30,30,0.0,False
