dataset_id,technology,organ,species,n_targets_total,n_targets_ok,n_cells,n_ligands_used,median_alpha,r2_genius_median,r2_silly_median,r2_abundance_median,feature_col_pearson_silly,feature_col_pearson_abund,silly_coef_pearson_median,silly_coef_pearson_mean,silly_coef_cosine_median,silly_coef_mae_median,silly_support_jaccard_median,silly_sign_agreement_median,abund_coef_pearson_median,abund_coef_cosine_median,abund_support_jaccard_median,pearson_lift_vs_abund,frac_degenerate_silly,ridge_silly_coef_pearson_median,ridge_silly_coef_cosine_median,ridge_abund_coef_pearson_median,ridge_pearson_lift_vs_abund,ridge_r2_genius_median,ridge_r2_silly_median
human_melanoma_slidetags,SlideTags,tumor_melanoma,human,20,6,4804,30,0.0031882778650488865,0.038762276024513154,0.49978406619062515,0.009362358055857278,0.14027122860753996,0.066318519715183,0.025303797608814807,0.03365318627121397,0.02673370791623164,2.9255392370344095,0.27793103448275863,0.5,-0.004177329982393428,-1.6270062632399975e-15,0.0,0.029481127591208234,0.0,0.29539994123657,0.2958662557953349,,,0.012129908913982246,0.30624090846510066
human_tonsil_slidetags,SlideTags,tonsil,human,20,18,5778,30,0.0021966438177661585,0.06751251418776455,0.22525107486798385,0.05828258028924621,0.3464126776488276,0.2734506450601517,0.11274716871651111,0.08042050971376173,0.11003843974191152,4.757153370520022,0.39655172413793105,0.5419580419580419,-0.09603983522452456,-0.0937240306437076,0.037037037037037035,0.20878700394103566,0.0,-0.024992623503126483,-0.027972061678949944,,,0.06706700428031726,0.2161859662955697
human_tonsil_slidetags_fine,SlideTags,tonsil,human,20,17,5778,30,0.0016325551520143286,0.05346385290634115,0.13463861686937728,0.03981531260301796,0.4324937499214328,0.38713329207056985,0.1384123958727977,0.12284669798748568,0.13854955782345305,7.351820965761074,0.5,0.6153846153846154,-0.2840907527135326,-0.27558993342071025,0.041666666666666664,0.4225031485863303,0.0,-0.15249858678108472,-0.15283017136127258,,,0.0423279489067257,0.14670468873695236
mouse_brain_slideseqv2,SlideSeqV2,brain,mouse,20,17,8000,30,0.0002751588841491408,0.07725281816925733,0.1690618286308847,0.1389268379750116,0.24651453427190126,0.09524610194859992,0.12960494859574345,0.15031210076029555,0.12220847876387668,0.6201751495871257,0.15384615384615385,0.6666666666666666,-0.07115255646417892,-0.06118344522543832,0.04,0.20075750505992238,0.0,0.06681080353090356,0.05106553965341977,,,0.07918667458411027,0.16604827166700858
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,mouse,20,4,8000,30,0.000250263600519936,0.04088798268522764,0.08387295212376333,0.0030851338635514147,0.1168665883882939,0.03943079795292275,0.09388714294993554,0.06922733260856571,0.09467926906263005,0.30558819958197264,0.31288819875776397,0.6349206349206349,-0.1430500061172977,-0.13598865838276594,0.017857142857142856,0.23693714906723323,0.0,0.13597983277614523,0.136201996458108,,,0.010609596430061374,0.01063488353388381
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,mouse,20,17,8000,30,4.5526351402710435e-05,0.048196712578421064,0.04789190800064058,0.002622888038485982,0.17257470989760412,0.07930781040735059,0.11325053243857634,0.09948886489122288,0.1147634814990083,0.17296717388139457,0.5517241379310345,0.5625,-0.08714095019983785,-0.08715907721639629,0.037037037037037035,0.2003914826384142,0.0,0.06860535026698653,0.06892112185345095,,,0.04028488169292943,0.036864643507738326
mouse_kidney_visiumhd,VisiumHD,kidney,mouse,20,20,8000,30,0.00024258280163024068,0.11192431412373655,0.08635629229211245,0.07130577424864765,0.42808858367886443,-0.2760011722672873,0.0002615277504805823,0.02591799994578232,-0.0023451792558597563,0.14410795404917692,0.15833333333333333,0.5,0.020802173048977912,0.008515561849023284,0.05012531328320802,-0.02054064529849733,0.0,0.12434541040553379,0.13167908436309664,,,0.11533702726905892,0.08686935589001804
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,20,3,8000,30,0.004037328296260611,0.06069074363031235,0.03726014345032769,0.03722455072670772,0.3084873536833713,0.19846602312234474,-0.02466027813605215,-0.06628666361375796,0.0,0.005935778753495182,0.0,0.6666666666666666,-0.004389588738795566,8.92509668956958e-16,0.0,-0.020270689397256583,0.0,0.051762758515681115,0.05990148438921711,,,0.005333970450601022,0.0009635169309663572
