dataset_id,technology,organ,n_targets,type_feat_pearson,ridge_silly_r,ridge_silly_cos,ridge_abund_r,lift
human_melanoma_slidetags,SlideTags,tumor_melanoma,15,0.9828833818349407,0.9060741940449805,0.9675694247901105,,
human_tonsil_slidetags,SlideTags,tonsil,15,0.9782254981297234,0.9528294063492284,0.9758633021806535,,
human_tonsil_slidetags_fine,SlideTags,tonsil,15,0.9856175497572123,0.866062592480701,0.9866934672807504,,
mouse_brain_slideseqv2,SlideSeqV2,brain,15,0.9868557770982411,0.9913620697921526,0.9482819355736856,-0.833693915865424,1.8250559856575765
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,15,0.6919269396336707,0.8554550072524749,0.8097988487505239,0.07221997529501206,0.7832350319574628
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,15,0.774920818834892,0.8539003129559668,0.8427415224603734,-0.060305058681313944,0.9142053716372808
mouse_kidney_visiumhd,VisiumHD,kidney,15,0.9215343598301073,0.6772498113060065,0.8650122548493776,,
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,15,0.956167781584645,0.6595759069382124,0.8103569362351392,-0.3626258154512832,1.0222017223894957
